time_s,frame,object_name,object_index,active,kind,x_m,y_m,z_m,qx,qy,qz,qw,vx_m_s,vy_m_s,vz_m_s,wx_rad_s,wy_rad_s,wz_rad_s,mesh_z_min_m,mesh_z_max_m,mesh_z_span_m,mesh_xy_radius_m
1.85,111,object_a,0,1,rigid_box,-0.6465695052855136,-2.487431093115618e-07,0.39999079727651404,2.853404079752222e-08,-1.3693876142748767e-07,1.2158734110251297e-08,0.9999999999999901,-0.4010235141005165,-1.7890449755315762e-07,1.0754745080610029e-09,-1.6266421040746897e-13,-6.41307422384925e-08,1.1983003738542833e-08,,,,
1.85,111,object_b,1,1,rigid_box,0.3821617355125463,1.5503025437046992e-07,0.3999907959244829,5.0430519737707185e-08,-3.3018669097435024e-08,-1.8804107777307175e-08,0.999999999999998,0.16649335376024388,1.1123419205034103e-07,-6.178454449445869e-11,1.998722496489153e-08,-3.292733528557569e-08,-2.8497644640814753e-08,,,,
1.8666666666666667,112,object_a,0,1,rigid_box,-0.6532493366810996,-2.517231133260222e-07,0.399990797294448,2.85340394483467e-08,-1.374734464662584e-07,1.225863872918899e-08,0.99999999999999,-0.4005838218153895,-1.787082864790773e-07,1.0765345438007445e-09,-1.6284949265157838e-13,-6.418997465312669e-08,1.1993449886621179e-08,,,,
1.8666666666666667,112,object_b,1,1,rigid_box,0.38493489995765323,1.5688300334041365e-07,0.3999907959234542,5.059756272482507e-08,-3.3295597305382115e-08,-1.9041789280463063e-08,0.999999999999998,0.1662985816417913,1.1110384970898719e-07,-6.168516912541389e-11,2.0097076395346953e-08,-3.350327784037361e-08,-2.854310247507415e-08,,,,
1.8833333333333333,113,object_a,0,1,rigid_box,-0.6599218445453686,-2.546998492402965e-07,0.39999079731239856,2.8534038097632113e-08,-1.380086253465273e-07,1.2358630442654655e-08,0.99999999999999,-0.4001446572142818,-1.7851231075539165e-07,1.07746219064897e-09,-1.6303498925648636e-13,-6.424926084563459e-08,1.2003905783665498e-08,,,,
1.8833333333333333,113,object_b,1,1,rigid_box,0.387704819732527,1.58733580948986e-07,0.3999907959224276,5.076554492819038e-08,-3.3577432794715635e-08,-1.9279850288118174e-08,0.9999999999999979,0.16610398248806316,1.1097362151154582e-07,-6.155371351512784e-11,2.0212360765903574e-08,-3.4103834751981126e-08,-2.858871709163476e-08,,,,
1.9,114,object_a,0,1,rigid_box,-0.6665870376651697,-2.5767332097337186e-07,0.39999079733036574,2.8534036745376706e-08,-1.3854429851673438e-07,1.2458709331750712e-08,0.9999999999999899,-0.39970601940703415,-1.7831656998477085e-07,1.0784684794512556e-09,-1.6322070555953248e-13,-6.430860087778132e-08,1.2014371441269493e-08,,,,
1.9,114,object_b,1,1,rigid_box,0.3904714977181058,1.605819890964138e-07,0.39999079592140296,5.093451333867161e-08,-3.3864388529150054e-08,-1.951829213780423e-08,0.9999999999999979,0.16590955609500935,1.1084350721137224e-07,-6.139909414226707e-11,2.0333460782754107e-08,-3.4730752531656365e-08,-2.863449561570284e-08,,,,
1.9166666666666667,115,object_a,0,1,rigid_box,-0.673244924812534,-2.606435324376216e-07,0.3999907973483497,2.853403539157873e-08,-1.3908046642574784e-07,1.2558875477979787e-08,0.9999999999999898,-0.3992679075054796,-1.7812106377077412e-07,1.0794792767998551e-09,-1.6340662671915102e-13,-6.436799479342238e-08,1.202484692063326e-08,,,,
1.9166666666666667,115,object_b,1,1,rigid_box,0.39323493679192983,1.6242822967874043e-07,0.39999079592038034,5.1104518373571214e-08,-3.415669312612777e-08,-1.9757116228563394e-08,0.9999999999999979,0.16571530225889533,1.1071350655378998e-07,-6.13183254172256e-11,2.0460853989665973e-08,-3.5386224178187306e-08,-2.868044560382049e-08,,,,
