time,x,y,z,vx,vy,vz,num_table_contacts
3.652083333333333126e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.597167385473974198e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.654166666666666785e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596949042053794961e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.656250000000000000e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596892205470033363e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.658333333333333215e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596877410440940963e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.660416666666666430e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596873559173476867e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.662500000000000089e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872556656956526e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.664583333333333304e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872295693679556e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.666666666666666519e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872227762798713e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.668749999999999734e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872210079832561e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.670833333333333393e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872205476810690e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.672916666666666607e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872204278607396e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.674999999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203966704120e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.677083333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203885513693e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.679166666666666696e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203864379000e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.681249999999999911e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203858877928e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.683333333333333126e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203857445652e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.685416666666666785e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203857072176e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.687500000000000000e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856976034e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.689583333333333215e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856950149e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.691666666666666430e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856943986e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.693750000000000089e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.695833333333333304e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.697916666666666519e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.699999999999999734e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.702083333333333393e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.704166666666666607e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.706249999999999822e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.708333333333333481e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.710416666666666696e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
3.712499999999999911e+00,-8.326420190236685781e-02,-2.622407571340540366e-02,7.699900000000000633e-01,1.952403971510663194e-17,-4.596872203856941521e-17,-4.369074546595186348e-14,1.000000000000000000e+00
