time,soft_z_min,soft_z_max,soft_z_span,soft_xy_radius,soft_center_x,soft_center_y,soft_center_z
1.149999999999999911e+00,7.559541613215358113e-01,9.979749601178723450e-01,2.420207987963365337e-01,1.769134738262961581e-01,-3.006790893688384217e-03,1.076191653076590633e-03,8.547601803092950146e-01
1.166666666666666741e+00,7.559642115071089075e-01,9.975470431542940997e-01,2.415828316471851922e-01,1.770322751578492226e-01,-3.021263348780405325e-03,1.071223473361151111e-03,8.545030265145768800e-01
1.183333333333333348e+00,7.559720581706402820e-01,9.971288597357852446e-01,2.411568015651449626e-01,1.771494798557482764e-01,-3.034068620282698477e-03,1.066313612167374674e-03,8.542514599594700497e-01
1.199999999999999956e+00,7.559781844339104051e-01,9.967138465119655955e-01,2.407356620780551903e-01,1.772677435332560836e-01,-3.044022996891033225e-03,1.060695602464306478e-03,8.540017324632630524e-01
1.216666666666666563e+00,7.559829675508651370e-01,9.963007508273349355e-01,2.403177832764697985e-01,1.773853794802429662e-01,-3.052711018362572366e-03,1.054949147820163999e-03,8.537531083007573462e-01
1.233333333333333393e+00,7.559867019148681644e-01,9.958891957254418781e-01,2.399024938105737137e-01,1.775019980843135226e-01,-3.060860256014126014e-03,1.048762278544201985e-03,8.535053279682074390e-01
1.250000000000000000e+00,7.559896175582644373e-01,9.954789553452895179e-01,2.394893377870250806e-01,1.776175720692251547e-01,-3.068636091981630232e-03,1.042453470226107227e-03,8.532582199135333445e-01
1.266666666666666607e+00,7.559918938947266520e-01,9.950698396726059825e-01,2.390779457778793304e-01,1.777320928280085865e-01,-3.076132538771696612e-03,1.036381905293443789e-03,8.530116352579453221e-01
1.283333333333333215e+00,7.559936711561083822e-01,9.946616777781669416e-01,2.386680066220585594e-01,1.778455543999295507e-01,-3.083315810136379957e-03,1.030070655699380977e-03,8.527654400163180437e-01
1.300000000000000044e+00,7.559950587815125189e-01,9.942543085376822631e-01,2.382592497561697442e-01,1.779579480312588891e-01,-3.090167024975014245e-03,1.023720767965299958e-03,8.525195079655715213e-01
1.316666666666666652e+00,7.559961421529647341e-01,9.938475819563368230e-01,2.378514398033720889e-01,1.780692743757915086e-01,-3.096735284593779731e-03,1.017470915710851466e-03,8.522737221154951248e-01
1.333333333333333259e+00,7.559969880270579479e-01,9.934413590783883752e-01,2.374443710513304273e-01,1.781795253408606783e-01,-3.102953459227587255e-03,1.010789332792965279e-03,8.520279742709118143e-01
1.350000000000000089e+00,7.559976483885686438e-01,9.930355068176677236e-01,2.370378584290990798e-01,1.782887788389783956e-01,-3.108983693454768927e-03,1.004274101227577631e-03,8.517821614114099438e-01
1.366666666666666696e+00,7.559981639647911367e-01,9.926298980169916408e-01,2.366317340522005042e-01,1.783971947236790700e-01,-3.115156637819763152e-03,9.972218469623775772e-04,8.515361855851680817e-01
1.383333333333333304e+00,7.559985665142959776e-01,9.922009643352815988e-01,2.362023978209856212e-01,1.785043033447618055e-01,-3.121219296886630894e-03,9.907935329304374227e-04,8.512665568909124625e-01
1.399999999999999911e+00,7.559988807883651907e-01,9.917929056952528022e-01,2.357940249068876115e-01,1.786104102737880450e-01,-3.127014059230406613e-03,9.850965260412866773e-04,8.510196796711224643e-01
