time,object_a_x,object_a_y,object_a_z,object_a_vx,object_a_vy,object_a_vz,object_b_x,object_b_y,object_b_z,object_b_vx,object_b_vy,object_b_vz,total_translational_ke,total_px,total_py
1.244444444444444464e+00,-2.297653689196752780e-01,-2.801436052409475946e-07,7.749915121745655222e-01,-2.268732782708961504e-01,-2.978425941214046088e-07,6.911412761545498995e-10,1.015419360958242478e+00,4.373171007455392524e-07,4.699304252431316803e-02,1.034930102486161019e+00,1.135301885854989886e-06,-5.406957933584447540e-01,4.321918453737093324e-02,4.167721110478900259e-02,4.131227968037298047e-08
1.247222222222222232e+00,-2.303954853405381642e-01,-2.809708314611998619e-07,7.749915121764856529e-01,-2.268314564868428029e-01,-2.977877217529511580e-07,6.912944140735621801e-10,1.018228559504720021e+00,4.353710195317255720e-07,4.868896445984945837e-02,1.011250094300725433e+00,-7.005467140988171411e-07,6.036842530671411300e-01,4.392720585308986653e-02,4.026017457422767509e-02,-6.883369780369463110e-08
1.250000000000000000e+00,-2.310254856038514160e-01,-2.817979052766797315e-07,7.749915121784060057e-01,-2.267896414575888975e-01,-2.977328582515099672e-07,6.913342780190401271e-10,1.021037078339540161e+00,4.334254091903210039e-07,5.030881201813838105e-02,1.011005813181086177e+00,-7.003774875774610773e-07,5.762993730527286029e-01,4.294212101628699929e-02,4.024928105968216679e-02,-6.881860649728355639e-08
1.252777777777777768e+00,-2.316553697283753321e-01,-2.826248267120136806e-07,7.749915121803265805e-01,-2.267478331816548676e-01,-2.976780036151377311e-07,6.914205701036291174e-10,1.023844921998759983e+00,4.314802665789575629e-07,5.185260609850565749e-02,1.010763151322102038e+00,-7.002093828040657480e-07,5.489219871894739367e-01,4.200238097610341920e-02,4.023848409297718642e-02,-6.880358329360633697e-08
1.255555555555555536e+00,-2.322851377328659928e-01,-2.834515957918228923e-07,7.749915121822472663e-01,-2.267060316575616463e-01,-2.976231578418956971e-07,6.914866786805751175e-10,1.026652094863486075e+00,4.295355886626097905e-07,5.332036727606331156e-02,1.010522052489637224e+00,-7.000423608222552202e-07,5.215519796200074332e-01,4.110794169596759112e-02,4.022778030019768386e-02,-6.878862585510592330e-08
1.258333333333333304e+00,-2.329147896360754810e-01,-2.842782125407231499e-07,7.749915121841683963e-01,-2.266642368838304722e-01,-2.975683209298418305e-07,6.915992917244651039e-10,1.029458601154829678e+00,4.275913725170895598e-07,5.471211581152244513e-02,1.010282458629469859e+00,-6.998763814147826562e-07,4.941892380669243301e-01,4.025875990978169949e-02,4.021716619822345018e-02,-6.877373176857271670e-08
1.261111111111111072e+00,-2.335443254567516891e-01,-2.851046769833247839e-07,7.749915121860896372e-01,-2.266224488589831110e-01,-2.975134928770366376e-07,6.917241120174555391e-10,1.032264444928827185e+00,4.256476153325645976e-07,5.602787166154050980e-02,1.010044309856581890e+00,-6.997114030961119987e-07,4.668336540266703194e-01,3.945479309689313430e-02,4.020663819408643036e-02,-6.875889854470000937e-08
1.263888888888888840e+00,-2.341737452136384567e-01,-2.859309891442328308e-07,7.749915121880112112e-01,-2.265806675815418281e-01,-2.974586736815400953e-07,6.917526395450179777e-10,1.035069630071348001e+00,4.237043144170866409e-07,5.726765448961827765e-02,1.009807544452591133e+00,-6.995473831106379317e-07,4.394851229686734251e-01,3.869599945581988359e-02,4.019619258481670065e-02,-6.874412361797688766e-08
1.266666666666666607e+00,-2.348030489254754882e-01,-2.867571490480468745e-07,7.749915121899330073e-01,-2.265388930500291109e-01,-2.974038633414134510e-07,6.919128638094296235e-10,1.037874160293013714e+00,4.217614672001108593e-07,5.843148367755904293e-02,1.009572098872195012e+00,-6.993842774371500612e-07,4.121435445387786056e-01,3.798233787669953732e-02,4.018582555782907600e-02,-6.872940434695621215e-08
1.269444444444444597e+00,-2.354322366109984077e-01,-2.875831567193610460e-07,7.749915121918550254e-01,-2.264971252629680576e-01,-2.973490618547200699e-07,6.919761985635375368e-10,1.040678039124155019e+00,4.198190712359893893e-07,5.951937833749981061e-02,1.009337907759471964e+00,-6.992220408001262997e-07,3.848088227658660321e-01,3.731376791243774110e-02,4.017553319190118877e-02,-6.871473801493238956e-08
